Site_no,Lat ,Long,Dist_source,Land_use,ASPT
5,55.8920725,-3.2635829,0,A,6.3625
6,55.8933451,-3.2626721,151.5,A,7.044444444
7,55.8964721,-3.2616561,506.35,F,5.35
8,55.9024456,-3.248853,1480,B,8.1
9,55.9045223, -3.2406331,1990,B,4.95
10,55.9062551,-3.236581,2310,D,5.844444444
11,55.9118509,-3.2290397,3070,C,5.5625
12,55.9123221,-3.2247099,3300,C,5.45
13,55.9122296,-3.2176456,3630,D,5.066666667
1,55.919206,-3.209524,4520,B,5.416666667
2,55.9196483,-3.192583,5380,B,4.22
3,55.919034,-3.177642,6130,B,6.233333333
4,55.919,-3.171642,6480,F,5.42
14,55.9244529,-3.1660734,7060,E,5.2875
15,55.92736,-3.1602562,7540,C,5.1
16,55.930552,-3.1544205,8190,C,4.845454545
